Piezo Voltage	Idler Rate	Coinc 1&2	Coinc 1&3
35.000000	87959.971084	1221.719219	1120.075858
36.000000	87817.446310	1217.230350	1147.934315
37.000000	87806.600080	1200.031391	1152.234124
38.000000	87880.671428	1192.112584	1140.920632
39.000000	87789.489093	1189.531991	1181.732437
40.000000	87934.366679	1191.531820	1188.731980
41.000000	87878.975715	1143.420294	1183.114055
42.000000	87775.952017	1155.733868	1175.332747
43.000000	87763.078156	1170.815932	1189.113056
44.000000	87997.155405	1194.331717	1184.432283
45.000000	87920.435741	1185.632158	1167.133216
46.000000	87896.974686	1222.507864	1148.719461
47.000000	87999.742579	1230.629583	1122.835751
48.000000	87877.851044	1217.530390	1134.435141
49.000000	88001.268723	1227.307051	1146.919689
50.000000	87890.683239	1202.431196	1158.533708
51.000000	87884.107801	1202.260088	1186.337431
52.000000	87722.084685	1146.119815	1161.917331
53.000000	87886.702971	1165.833290	1185.332175
54.000000	87927.372948	1168.716318	1196.811902
55.000000	87911.977672	1182.032420	1181.332460
56.000000	88018.051811	1186.032135	1145.334463
57.000000	87777.081541	1220.808073	1143.720192
58.000000	87766.200361	1232.229491	1146.534395
59.000000	87754.259557	1226.529876	1161.233609
60.000000	87931.968492	1200.011342	1139.620837
61.000000	87981.433346	1208.030876	1163.733411
62.000000	87802.675891	1170.216027	1183.213983
63.000000	87832.574180	1160.017630	1181.114313
64.000000	87861.133919	1162.633529	1191.831860
65.000000	87738.083770	1161.117457	1176.515036
